strategies_used_to_control_tuta_Absoluta_Feb_March_2020,specify_the_pesticide_tuta_absoluta,other_strategies_used_to_control_Feb_March_2020,perception_on_the_effectiveness_of_strategy_in_controlling_Tuta_Absoluta_Feb_March_2020,PARENT_KEY,KEY
Chemicals,,,Medium,uuid:4cf863ff-d9e5-49e7-b7d1-dc2b1b9462c7/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[4],uuid:4cf863ff-d9e5-49e7-b7d1-dc2b1b9462c7/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[4]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,High,uuid:9a89cabe-041f-41dd-ba73-778efdb76397/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3],uuid:9a89cabe-041f-41dd-ba73-778efdb76397/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,High,uuid:bf3bb5a3-5ba9-4285-ab55-e9eeed9bfdb5/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3],uuid:bf3bb5a3-5ba9-4285-ab55-e9eeed9bfdb5/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,Low,uuid:55dd0014-cfd5-4461-b5d5-aab65417a48c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3],uuid:55dd0014-cfd5-4461-b5d5-aab65417a48c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
,,,,uuid:55dd0014-cfd5-4461-b5d5-aab65417a48c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3],uuid:55dd0014-cfd5-4461-b5d5-aab65417a48c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]/Strategies_for_tuta_Absoluta_Feb_March_2020[2]
Chemicals,,,Low,uuid:26c0764f-4b2b-4f7d-b4cf-196c4e0e8c9d/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:26c0764f-4b2b-4f7d-b4cf-196c4e0e8c9d/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,Low,uuid:1b10c35a-5d3b-4f3e-a802-4b47a7b1db94/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:1b10c35a-5d3b-4f3e-a802-4b47a7b1db94/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,High,uuid:78bf4c92-660c-488f-98ab-97af73e54de4/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:78bf4c92-660c-488f-98ab-97af73e54de4/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,Medium,uuid:c1ae1cf1-35da-4a4c-b00f-a33553b2485b/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3],uuid:c1ae1cf1-35da-4a4c-b00f-a33553b2485b/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,High,uuid:51bf1cc9-a26e-4b29-8845-9b529c9e9cfb/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[4],uuid:51bf1cc9-a26e-4b29-8845-9b529c9e9cfb/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[4]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,High,uuid:a2e0cd54-84d9-4d00-ad78-eee20a7979d2/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:a2e0cd54-84d9-4d00-ad78-eee20a7979d2/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,Medium,uuid:f32705b6-9c8a-4e76-825c-fab797ebc70b/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[4],uuid:f32705b6-9c8a-4e76-825c-fab797ebc70b/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[4]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
other,,Apply herbs,Low,uuid:abbc04a2-1f49-4dd9-9259-eb39f8ea954c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1],uuid:abbc04a2-1f49-4dd9-9259-eb39f8ea954c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,Medium,uuid:efc71b22-348e-409c-9c4d-d7e96a72d1a2/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:efc71b22-348e-409c-9c4d-d7e96a72d1a2/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,Medium,uuid:a3a6eb00-0f28-40d4-8ada-1dcdf7c227bb/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:a3a6eb00-0f28-40d4-8ada-1dcdf7c227bb/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Training_on_Pest_and_disease_ma,,,Medium,uuid:a3a6eb00-0f28-40d4-8ada-1dcdf7c227bb/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:a3a6eb00-0f28-40d4-8ada-1dcdf7c227bb/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[2]
Chemicals,,,Low,uuid:67cd64a9-356f-42f1-a7d8-a0146cb543d9/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:67cd64a9-356f-42f1-a7d8-a0146cb543d9/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,Low,uuid:41a0d048-6984-48a2-83a8-bd0e539ddceb/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3],uuid:41a0d048-6984-48a2-83a8-bd0e539ddceb/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,Medium,uuid:fb497324-4399-4045-93b0-902c2733c5ea/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:fb497324-4399-4045-93b0-902c2733c5ea/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,Medium,uuid:60a68405-60e8-4678-930a-e21b31d1230f/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:60a68405-60e8-4678-930a-e21b31d1230f/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,Medium,uuid:ed18b15f-532b-4de1-b373-c902f78bdb22/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:ed18b15f-532b-4de1-b373-c902f78bdb22/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,High,uuid:1caa0fe8-838d-4ba4-b216-e5ee1e993dc9/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3],uuid:1caa0fe8-838d-4ba4-b216-e5ee1e993dc9/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Training_on_Pest_and_disease_ma,,,Low,uuid:cbbf6dc4-126e-4acd-9158-fe997842e98d/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:cbbf6dc4-126e-4acd-9158-fe997842e98d/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,High,uuid:dbaddb91-4a28-4b66-8994-0e37783ac8e0/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:dbaddb91-4a28-4b66-8994-0e37783ac8e0/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,High,uuid:f3910e58-f8dc-44cf-8b28-aa5c58de4245/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:f3910e58-f8dc-44cf-8b28-aa5c58de4245/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,High,uuid:a0d37626-a05e-414c-ad78-4c39f5c41d7f/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:a0d37626-a05e-414c-ad78-4c39f5c41d7f/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,High,uuid:5ba0aafd-498f-48fd-99e2-57a06701247e/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:5ba0aafd-498f-48fd-99e2-57a06701247e/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,Medium,uuid:5eaf2b32-8c70-4383-8839-01d7460d065a/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3],uuid:5eaf2b32-8c70-4383-8839-01d7460d065a/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,High,uuid:cf409ba1-8cb2-4b36-b820-913783f8c98a/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3],uuid:cf409ba1-8cb2-4b36-b820-913783f8c98a/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Training_on_Pest_and_disease_ma,,,High,uuid:cf409ba1-8cb2-4b36-b820-913783f8c98a/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3],uuid:cf409ba1-8cb2-4b36-b820-913783f8c98a/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]/Strategies_for_tuta_Absoluta_Feb_March_2020[2]
Field_hygiene_,,,High,uuid:6935555e-b06a-4c8a-83ee-647558eefc12/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:6935555e-b06a-4c8a-83ee-647558eefc12/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Training_on_Pest_and_disease_ma,,,Medium,uuid:aa0d9581-4676-4d29-a17c-530995702a2c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[5],uuid:aa0d9581-4676-4d29-a17c-530995702a2c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[5]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Training_on_Pest_and_disease_ma,,,Medium,uuid:2b670aae-b0e6-4f0c-adc3-20aef0a2d5d1/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1],uuid:2b670aae-b0e6-4f0c-adc3-20aef0a2d5d1/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
other,,Ash,Medium,uuid:2b670aae-b0e6-4f0c-adc3-20aef0a2d5d1/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1],uuid:2b670aae-b0e6-4f0c-adc3-20aef0a2d5d1/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]/Strategies_for_tuta_Absoluta_Feb_March_2020[2]
other,,Pepper,Medium,uuid:2b670aae-b0e6-4f0c-adc3-20aef0a2d5d1/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1],uuid:2b670aae-b0e6-4f0c-adc3-20aef0a2d5d1/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]/Strategies_for_tuta_Absoluta_Feb_March_2020[3]
other,,Ash and pepper,High,uuid:6882eee5-40c9-4540-860e-bdb484b2ba9d/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[4],uuid:6882eee5-40c9-4540-860e-bdb484b2ba9d/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[4]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Training_on_Pest_and_disease_ma,,,Medium,uuid:6882eee5-40c9-4540-860e-bdb484b2ba9d/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[4],uuid:6882eee5-40c9-4540-860e-bdb484b2ba9d/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[4]/Strategies_for_tuta_Absoluta_Feb_March_2020[2]
other,,"Use mixture  of ash, urine, soap, pepper",Medium,uuid:fb24a20d-12ba-46df-b329-f1164876fea8/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:fb24a20d-12ba-46df-b329-f1164876fea8/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Training_on_Pest_and_disease_ma,,,Medium,uuid:fb24a20d-12ba-46df-b329-f1164876fea8/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:fb24a20d-12ba-46df-b329-f1164876fea8/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[2]
Chemicals,,,Medium,uuid:933e068e-104d-4951-9f5e-888ca8e60b82/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:933e068e-104d-4951-9f5e-888ca8e60b82/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
other,,Pepper and ash,Medium,uuid:22c4b622-938e-42f3-8fe9-a214a8e0182e/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:22c4b622-938e-42f3-8fe9-a214a8e0182e/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
,,,,uuid:22c4b622-938e-42f3-8fe9-a214a8e0182e/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:22c4b622-938e-42f3-8fe9-a214a8e0182e/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[2]
Chemicals,,,Medium,uuid:287285d8-a9e5-4863-bc66-3ac55fc9c006/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:287285d8-a9e5-4863-bc66-3ac55fc9c006/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
other,,Pepper and ash,Medium,uuid:287285d8-a9e5-4863-bc66-3ac55fc9c006/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:287285d8-a9e5-4863-bc66-3ac55fc9c006/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[2]
Chemicals,,,Medium,uuid:ea66a161-0dd8-43e7-9421-51cbc4380b8e/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:ea66a161-0dd8-43e7-9421-51cbc4380b8e/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,Medium,uuid:0418f7af-7471-4814-94df-b86dc57aaa57/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:0418f7af-7471-4814-94df-b86dc57aaa57/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,Medium,uuid:805cf1b9-4e28-4e62-8fae-6888c0ab8f2c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:805cf1b9-4e28-4e62-8fae-6888c0ab8f2c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Field_hygiene_,,,Medium,uuid:805cf1b9-4e28-4e62-8fae-6888c0ab8f2c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:805cf1b9-4e28-4e62-8fae-6888c0ab8f2c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[2]
Training_on_Pest_and_disease_ma,,,Medium,uuid:97353fa9-ebc4-43a4-8b23-ce8d1f79d791/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:97353fa9-ebc4-43a4-8b23-ce8d1f79d791/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,High,uuid:97353fa9-ebc4-43a4-8b23-ce8d1f79d791/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:97353fa9-ebc4-43a4-8b23-ce8d1f79d791/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[2]
Field_hygiene_,,,Medium,uuid:97353fa9-ebc4-43a4-8b23-ce8d1f79d791/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:97353fa9-ebc4-43a4-8b23-ce8d1f79d791/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[3]
Chemicals,,,High,uuid:a315471a-5314-4119-91ea-daf90803b1ce/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3],uuid:a315471a-5314-4119-91ea-daf90803b1ce/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Training_on_Pest_and_disease_ma,,,Medium,uuid:a315471a-5314-4119-91ea-daf90803b1ce/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3],uuid:a315471a-5314-4119-91ea-daf90803b1ce/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]/Strategies_for_tuta_Absoluta_Feb_March_2020[2]
Chemicals,,,High,uuid:ac7d1a54-b90d-4a04-9286-b09110c2c79b/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1],uuid:ac7d1a54-b90d-4a04-9286-b09110c2c79b/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Training_on_Pest_and_disease_ma,,,Medium,uuid:ac7d1a54-b90d-4a04-9286-b09110c2c79b/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1],uuid:ac7d1a54-b90d-4a04-9286-b09110c2c79b/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]/Strategies_for_tuta_Absoluta_Feb_March_2020[2]
Field_hygiene_,,,Medium,uuid:ac7d1a54-b90d-4a04-9286-b09110c2c79b/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1],uuid:ac7d1a54-b90d-4a04-9286-b09110c2c79b/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]/Strategies_for_tuta_Absoluta_Feb_March_2020[3]
Improved_seed,,,Medium,uuid:ac7d1a54-b90d-4a04-9286-b09110c2c79b/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1],uuid:ac7d1a54-b90d-4a04-9286-b09110c2c79b/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]/Strategies_for_tuta_Absoluta_Feb_March_2020[4]
Chemicals,,,High,uuid:790a7e62-b2c7-4d49-9318-a8df9c3096e9/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3],uuid:790a7e62-b2c7-4d49-9318-a8df9c3096e9/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
other,,Application of ash and tifolia (ekimyula),High,uuid:790a7e62-b2c7-4d49-9318-a8df9c3096e9/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3],uuid:790a7e62-b2c7-4d49-9318-a8df9c3096e9/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]/Strategies_for_tuta_Absoluta_Feb_March_2020[2]
